id,lon,lat,z,x_m,y_m,work_z
O01,109.2308517,23.0085095,127.7,318686.2012849663,2545556.1393078705,127.7
S001,109.2432319,23.0335927,154,319988.599872737,2548318.4942659517,184
S002,109.2585519,23.0703271,189.5,321607.1664922811,2552367.559439648,219.5
S003,109.1688578,23.0402714,308.5,312375.1586337376,2549151.507186076,338.5
S004,109.2381714,23.0778414,198.3,319528.9759536631,2553224.6970819808,228.3
S005,109.2283003,23.0561338,165,318488.48309921037,2550833.078209432,195
S006,109.1997836,23.007714,284.8,315500.3321695994,2545506.834640633,314.8
S007,109.1928191,23.0294186,318.5,314816.04690611176,2547919.1562834387,348.5
S008,109.2127472,23.0795113,240.9,316926.3521472279,2553441.253417357,270.9
S009,109.2541424,23.0552989,200,321135.49177049473,2550708.7793274075,230
S010,109.2760168,23.0194009,321.6,323330.1953724307,2546707.0166936666,351.6
S011,109.2203356,23.0319231,182.1,317639.7049014466,2548161.9520547492,212.1
S012,109.2831357,23.054464,249.8,324105.4192386115,2550581.1568953637,279.8
S013,109.2713839,23.0310882,321.7,322870.60295955674,2548006.8097309223,351.7
S014,109.2835966,23.0052097,321,324088.70956645417,2545126.43549485,351
S015,109.1923786,23.0494548,444.5,314798.3027495933,2550138.497386535,474.5
